trading_day,trade_time,trade_timestamp,exchange_id,instrument_id,open_price,highest_price,lowest_price,close_price,settlement_price,upper_limit_price,lower_limit_price,pre_settlement_price,volume,turnover,open_interest,insert_time
2024.11.01,2024.11.01T10:37:00.000,1730428620000,CFFEX,IC2503,5805.600000000000363,5809,5802,5805.199999999999818,0,0,0,0,85,98701720,56739,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:38:00.000,1730428680000,CFFEX,IC2503,5805.199999999999818,5810,5803.199999999999818,5807.399999999999636,0,0,0,0,48,55738040,56724,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:39:00.000,1730428740000,CFFEX,IC2503,5808,5808,5800.199999999999818,5801.600000000000363,0,0,0,0,40,46431240,56711,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:40:00.000,1730428800000,CFFEX,IC2503,5800.199999999999818,5806.800000000000181,5797.399999999999636,5800.800000000000181,0,0,0,0,58,67315760,56708,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:41:00.000,1730428860000,CFFEX,IC2503,5800.399999999999636,5802.600000000000363,5792.399999999999636,5799.399999999999636,0,0,0,0,50,57970880,56706,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:42:00.000,1730428920000,CFFEX,IC2503,5799.600000000000363,5822.199999999999818,5799.600000000000363,5821.399999999999636,0,0,0,0,136,158137880,56663,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:43:00.000,1730428980000,CFFEX,IC2503,5820,5820.800000000000181,5810,5813.399999999999636,0,0,0,0,85,98869520,56641,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:44:00.000,1730429040000,CFFEX,IC2503,5813.199999999999818,5817.199999999999818,5811.399999999999636,5813,0,0,0,0,40,46513120,56638,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:45:00.000,1730429100000,CFFEX,IC2503,5811.199999999999818,5812.800000000000181,5805.199999999999818,5812.199999999999818,0,0,0,0,113,131292040,56649,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:46:00.000,1730429160000,CFFEX,IC2503,5808,5820,5808,5817.800000000000181,0,0,0,0,81,94205240,56653,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:47:00.000,1730429220000,CFFEX,IC2503,5817.199999999999818,5817.600000000000363,5808,5810.199999999999818,0,0,0,0,60,69748240,56655,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:48:00.000,1730429280000,CFFEX,IC2503,5810.199999999999818,5815.199999999999818,5808.800000000000181,5815.199999999999818,0,0,0,0,52,60453440,56647,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:49:00.000,1730429340000,CFFEX,IC2503,5814.399999999999636,5825,5813.199999999999818,5819.800000000000181,0,0,0,0,87,101273640,56661,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:50:00.000,1730429400000,CFFEX,IC2503,5822.199999999999818,5823,5810.800000000000181,5812.199999999999818,0,0,0,0,68,79100040,56653,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:51:00.000,1730429460000,CFFEX,IC2503,5811,5813.600000000000363,5807,5807,0,0,0,0,52,60418680,56648,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:52:00.000,1730429520000,CFFEX,IC2503,5807.800000000000181,5807.800000000000181,5803,5803.800000000000181,0,0,0,0,37,42957200,56636,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:53:00.000,1730429580000,CFFEX,IC2503,5803.600000000000363,5811.600000000000363,5803.600000000000363,5811.600000000000363,0,0,0,0,32,37175200,56639,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:54:00.000,1730429640000,CFFEX,IC2503,5811.600000000000363,5816.399999999999636,5805.800000000000181,5806.399999999999636,0,0,0,0,44,51133640,56634,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:55:00.000,1730429700000,CFFEX,IC2503,5803.199999999999818,5812,5800,5812,0,0,0,0,65,75463000,56627,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:56:00.000,1730429760000,CFFEX,IC2503,5812.199999999999818,5816.600000000000363,5808.600000000000363,5812.600000000000363,0,0,0,0,26,30224040,56621,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:57:00.000,1730429820000,CFFEX,IC2503,5816,5822,5816,5817.600000000000363,0,0,0,0,38,44228600,56617,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:58:00.000,1730429880000,CFFEX,IC2503,5818,5820.800000000000181,5813.199999999999818,5820.600000000000363,0,0,0,0,19,22109240,56607,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T10:59:00.000,1730429940000,CFFEX,IC2503,5817.800000000000181,5820,5814,5817,0,0,0,0,29,33736800,56605,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:00:00.000,1730430000000,CFFEX,IC2503,5816.600000000000363,5823.199999999999818,5813.600000000000363,5820,0,0,0,0,30,34918760,56599,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:01:00.000,1730430060000,CFFEX,IC2503,5818,5821.199999999999818,5811.199999999999818,5811.600000000000363,0,0,0,0,38,44195360,56591,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:02:00.000,1730430120000,CFFEX,IC2503,5813.800000000000181,5813.800000000000181,5800,5805.600000000000363,0,0,0,0,89,103324360,56594,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:03:00.000,1730430180000,CFFEX,IC2503,5805.600000000000363,5805.600000000000363,5799.800000000000181,5804.399999999999636,0,0,0,0,21,24367640,56587,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:04:00.000,1730430240000,CFFEX,IC2503,5802,5802,5795.399999999999636,5797.399999999999636,0,0,0,0,52,60304880,56576,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:05:00.000,1730430300000,CFFEX,IC2503,5797.399999999999636,5802.600000000000363,5795,5795.199999999999818,0,0,0,0,75,86968960,56540,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:06:00.000,1730430360000,CFFEX,IC2503,5795.600000000000363,5801.800000000000181,5794,5801,0,0,0,0,49,56813360,56520,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:07:00.000,1730430420000,CFFEX,IC2503,5800,5800.600000000000363,5797.199999999999818,5800,0,0,0,0,37,42916520,56512,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:08:00.000,1730430480000,CFFEX,IC2503,5801,5815.600000000000363,5801,5811.800000000000181,0,0,0,0,84,97613400,56491,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:09:00.000,1730430540000,CFFEX,IC2503,5810.399999999999636,5811.199999999999818,5807.199999999999818,5809.199999999999818,0,0,0,0,21,24397120,56487,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:10:00.000,1730430600000,CFFEX,IC2503,5809,5815.600000000000363,5807,5814.800000000000181,0,0,0,0,20,23248280,56479,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:11:00.000,1730430660000,CFFEX,IC2503,5815,5815,5808.800000000000181,5810.800000000000181,0,0,0,0,19,22087080,56470,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:12:00.000,1730430720000,CFFEX,IC2503,5811.199999999999818,5822.399999999999636,5810,5819.800000000000181,0,0,0,0,63,73308320,56447,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:13:00.000,1730430780000,CFFEX,IC2503,5820.399999999999636,5828,5820,5822,0,0,0,0,52,60574920,56440,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:14:00.000,1730430840000,CFFEX,IC2503,5821,5825,5820,5823,0,0,0,0,25,29113360,56447,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:15:00.000,1730430900000,CFFEX,IC2503,5823,5825,5820,5824.600000000000363,0,0,0,0,33,38430440,56445,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:16:00.000,1730430960000,CFFEX,IC2503,5824.800000000000181,5829,5820,5829,0,0,0,0,65,75726440,56427,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:17:00.000,1730431020000,CFFEX,IC2503,5827.800000000000181,5836.399999999999636,5820.399999999999636,5820.399999999999636,0,0,0,0,156,181906680,56395,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:18:00.000,1730431080000,CFFEX,IC2503,5819.399999999999636,5819.399999999999636,5805.800000000000181,5811.600000000000363,0,0,0,0,93,108089360,56373,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:19:00.000,1730431140000,CFFEX,IC2503,5809.600000000000363,5820.399999999999636,5809.600000000000363,5817.600000000000363,0,0,0,0,38,44200000,56370,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:20:00.000,1730431200000,CFFEX,IC2503,5819,5823.800000000000181,5815.800000000000181,5822.600000000000363,0,0,0,0,22,25609360,56369,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:21:00.000,1730431260000,CFFEX,IC2503,5820,5831.199999999999818,5819.399999999999636,5827,0,0,0,0,82,95563680,56360,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:22:00.000,1730431320000,CFFEX,IC2503,5827,5834.399999999999636,5827,5834,0,0,0,0,35,40824520,56360,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:23:00.000,1730431380000,CFFEX,IC2503,5834.399999999999636,5837.800000000000181,5830.199999999999818,5830.800000000000181,0,0,0,0,62,72337720,56356,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:24:00.000,1730431440000,CFFEX,IC2503,5834,5838,5832.600000000000363,5836.800000000000181,0,0,0,0,55,64188400,56353,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:25:00.000,1730431500000,CFFEX,IC2503,5835.600000000000363,5835.800000000000181,5832.600000000000363,5832.600000000000363,0,0,0,0,22,25670240,56355,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:26:00.000,1730431560000,CFFEX,IC2503,5832.399999999999636,5835.399999999999636,5829.199999999999818,5831.399999999999636,0,0,0,0,47,54822800,56353,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:27:00.000,1730431620000,CFFEX,IC2503,5832.800000000000181,5834.199999999999818,5830,5832,0,0,0,0,33,38496880,56350,2024.11.01T18:30:14.636
