date,open,high,low,close,volume
20240918,80.8575,81.41,80.48,80.88,-1
20240919,81.4975,81.9725,81.16,81.5225,-1
20240920,81.2525,81.7875,81.0,81.2825,-1
20240923,81.32,81.9425,81.0,81.3425,-1
20240924,81.105,81.42,80.61,81.1275,-1
20240925,81.155,81.4,80.8325,81.1725,-1
20240926,81.6925,82.0,80.9275,81.725,-1
20240927,81.3475,81.7225,81.155,81.37,-1
20240930,81.0675,81.33,80.785,81.0875,-1
20241001,81.7,82.0,81.025,81.7375,-1
20241002,81.3125,81.9,81.05,81.3425,-1
20241003,82.2775,82.7,81.7725,82.3075,-1
20241004,82.4625,83.42,82.0,82.5,-1
20241007,82.995,83.245,82.7675,83.015,-1
20241008,82.76,83.385,82.4475,82.785,-1
20241009,83.3275,84.24,83.105,83.355,-1
20241010,83.89,84.24,83.6075,83.9175,-1
20241011,83.9225,84.435,83.675,83.945,-1
20241014,84.665,90.0,84.3125,84.785,-1
20241015,84.9175,85.2625,84.5,84.9375,-1
20241016,84.8,85.0,84.5,84.8125,-1
20241017,85.535,86.1575,85.2,85.5625,-1
20241018,85.095,85.46,84.8,85.115,-1
20241021,85.235,85.54,85.0,85.2525,-1
20241022,85.2325,85.535,85.05,85.235,-1
20241023,85.3675,85.66,85.0,85.3725,-1
20241024,85.115,85.6775,84.8,85.1375,-1
20241025,85.1725,85.85,84.97,85.2,-1
20241028,85.2775,85.54,85.005,85.2625,-1
20241029,85.0475,85.3,84.7,85.0575,-1
20241030,85.26,85.58,84.925,85.2825,-1
20241031,84.3725,84.8775,84.11,84.4075,-1
20241101,84.13,84.45,83.67,84.155,-1
20241104,83.865,84.1825,83.5,83.8425,-1
20241105,83.7075,84.21,83.4,83.6875,-1
20241106,86.9725,87.4675,86.44,86.9725,-1
20241107,87.13,87.6025,86.87,87.12,-1
20241108,87.57,88.1025,87.24,87.5975,-1
20241111,88.575,88.8125,88.39,88.5975,-1
20241112,88.845,89.235,88.62,88.8675,-1
20241113,89.0925,89.52,88.8,89.07,-1
20241114,89.695,90.2275,89.0725,89.675,-1
20241115,88.62,89.1625,87.6425,88.615,-1
20241118,88.355,88.63,88.01,88.3775,-1
20241119,88.1975,88.63,87.6,88.225,-1
20241120,88.635,88.98,87.8425,88.6725,-1
20241121,88.88,89.52,88.3825,88.92,-1
