date,return
2018-02-21,-0.0005007115855595323
2018-02-22,0.0
2018-02-23,0.0
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,0.06014673584743657
2018-02-27,0.022568482300821646
2018-02-28,-0.021821798077241827
2018-03-01,0.02069755733542822
2018-03-02,0.010340216671400393
2018-03-03,0.03659267747828299
2018-03-04,-0.026754461754461056
2018-03-05,-0.019254154196851947
2018-03-06,8.277265289691194e-05
2018-03-07,0.0
2018-03-08,0.0
2018-03-09,0.0
2018-03-10,-0.04749977229940294
2018-03-11,0.08262149390468942
2018-03-12,-0.0402130623489898
2018-03-13,0.001943701154486721
2018-03-14,-0.049373622587594146
2018-03-15,0.0
2018-03-16,0.009036985301059675
2018-03-17,-0.054785211632978115
2018-03-18,0.0
2018-03-19,0.04760101688389273
